	first_name	last_name	gender	ip_address	age	adresse	time_zone	Job	Organisation	Academics	Languages	Qualification	Phone	Driving_Licence	Academics_Degree	Academics_DegreeStatus	Academics_GradYear	Academics_GradAverage	Job_Salary	Job_Status	Job_Experience	SNN
0	Frazier	Rusted	Male	157.255.87.234	163.98.102.146	471 Derek Pass	Indian/Mauritius	Budget/Accounting Analyst I	Dynava	College of Busniess Admnistration	Quechua	Critical Thinking	+230 324 248 2583	True	BSc	Waiting for gruaduation	2018	A	225000.00	PT	10	225-07-1298
1	Dulcea	Thorogood	Female	156.220.54.88	26.61.7.181	090 Melrose Crossing	Asia/Makassar	Help Desk Operator	Pixoboo	Universidad Internacional de Andalucía	Northern Sotho	Ehcache	+62 244 411 6504	False	Msc	Waiting for gruaduation	2018	B	75000.00	PT	20	225-07-1298
2	Josepha	McKew	Female	184.114.11.234	19.243.70.89	91247 Chinook Terrace	Asia/Jakarta	Developer III	Edgeclub	Konkuk University	Fijian	Smartphones	+62 191 771 3482	True	phD	Waiting for gruaduation	2018	A	225000.00	PT	10	225-07-1298
3	Ketty	Jirsa	Female	111.167.36.233	64.147.242.94	4 Briar Crest Lane	America/Guayaquil	Database Administrator III	Rhybox	Wayne State College	Moldovan	SFTP	+593 506 481 1190	True	BSc	Waiting for gruaduation	2018	A	25000.00	PT	20	225-07-1298
4	Kizzie	Hadfield	Female	153.69.94.188	124.37.37.158	2036 Carey Hill	Asia/Chongqing	Senior Sales Associate	Meemm	Universidad Regional del Sureste	Gagauz	Jet Fuel	+86 319 317 4141	False	BSc	Waiting for gruaduation	2018	B	350000.00	PT	25	225-07-1298
5	Tessie	Crinson	Female	227.212.88.24	192.44.128.101	29169 Schlimgen Circle	Europe/Moscow	GIS Technical Architect	Roomm	Zurich University of Applied Sciences Winterthur	Czech	WSPG	+7 994 293 4792	True	phD	Waiting for gruaduation	2018	A	75000.00	PT	3	225-07-1298
6	Cinda	Lesper	Female	66.149.185.230	158.10.18.78	389 Brentwood Place	Asia/Karachi	Computer Systems Analyst IV	Yodoo	Instituto Superior Novas Profissões - INP	Oriya	MVC Architecture	+92 880 303 3582	True	Msc	Waiting for gruaduation	2018	B	75000.00	PT	15	225-07-1298
7	Zorah	Swetland	Female	73.142.201.3	0.3.69.247	11 Fairview Court	Europe/Helsinki	Compensation Analyst	Tagopia	Wellspring University	Romanian	Government Procurement	+358 725 175 1612	False	Msc	Waiting for gruaduation	2018	C	55000.00	PT	15	225-07-1298
8	Solomon	Domanek	Male	224.84.127.195	232.203.236.156	920 Pine View Circle	Africa/Dar_es_Salaam	Dental Hygienist	Bubbletube	Fachhochschule Würzburg - Schweinfurt	Tamil	GWAPT	+255 241 625 6207	False	Msc	Graduated	2018	B	55000.00	PT	40	225-07-1298
9	Warden	Desvignes	Male	58.192.225.47	13.103.28.47	10740 Springview Point	America/Argentina/Cordoba	Assistant Manager	Yamia	Universidad Nacional de la Amazonía Peruana	Amharic	FX Derivatives	+54 629 892 9635	True	phD	Waiting for gruaduation	2018	A	150000.00	PT	25	225-07-1298
10	Dominga	Blackeby	Female	171.19.135.181	62.30.128.255	79 Moose Pass	America/Argentina/Cordoba	Speech Pathologist	Feedmix	Ecole Superieure Robert de Sorbon	Yiddish	Research Ethics	+54 679 275 0434	True	BSc	Graduated	2018	A	75000.00	PT	25	225-07-1298
11	Madelle	Von Helmholtz	Female	171.207.137.140	196.154.56.61	051 Jay Alley	Europe/Ljubljana	Environmental Specialist	Gabcube	Florida Christian College	Irish Gaelic	Product Knowledge	+386 602 591 6901	True	BSc	Graduated	2018	B	225000.00	PT	20	225-07-1298
12	Ariadne	McCory	Female	1.160.198.0	175.159.184.183	119 Blaine Lane	Europe/Minsk	Structural Engineer	Realblab	Shivaji University	Somali	Artistic Eye	+375 286 367 6450	False	BSc	Graduated	2018	C	25000.00	FT	20	225-07-1298
13	Waylin	Sharp	Male	54.254.224.122	176.186.107.135	33243 Caliangt Terrace	Asia/Shanghai	Software Test Engineer II	Meezzy	University of California System	Māori	Athletic Administration	+86 781 168 4541	False	Msc	Waiting for gruaduation	2018	A	350000.00	PT	15	225-07-1298
14	Twyla	Rubinsztein	Female	65.94.80.125	82.46.60.219	4 Thierer Pass	America/Dominica	Senior Editor	Oyoloo	Facultés Universitaires Catholiques de Mons	Azeri	Study Abroad Programs	+1 895 439 3774	True	Msc	Waiting for gruaduation	2018	B	350000.00	PT	40	225-07-1298
15	Bekki	Masser	Female	236.9.16.144	210.131.42.170	92 Harbort Avenue	America/Guatemala	Editor	Meeveo	Universidad Mayor de San Simón	Bengali	Metal Fabrication	+502 202 886 4839	False	Msc	Waiting for gruaduation	2018	A	55000.00	PT	3	225-07-1298
16	Carolan	Nadin	Female	254.64.42.209	70.219.22.210	810 Sycamore Alley	Asia/Makassar	Electrical Engineer	Blogtag	Tamkang University	Azeri	MBD	+62 583 802 6223	False	BSc	Graduated	2018	B	350000.00	FT	15	225-07-1298
